Amphibians,Birds,Mammals,Sharks
Oreophryne albopunctata,Bubulcus ibis,Rhinonicteris aurantia,Insentiraja laxipella
Scinax acuminatus,Coccycua pumila,Melanomys caliginosus,Chiloscyllium arabicum
Euphlyctis aloysii,Prionodura newtoniana,Tarsomys apoensis,Glyphis fowlerae
Pseudocallulops eurydactylus,Pseudoleistes guirahuro,Idionycteris phyllotis,Rhinobatos albomaculatus
Rhacophorus achantharrhena,Tijuca atra,Mops bakarii,Hemigaleus australiensis
Crotaphatrema bornmuelleri,Anthus longicaudatus,Megaderma lyra,Aculeola nigra
Synapturanus mirandaribeiroi,Guira guira,Thomomys atrovarius,Triaenodon obesus
Bufo ailaoanus,Mionectes striaticollis,Muriculus imberbis,Platyrhinoidis triseriata
Pelophryne albotaeniata,Coracina maxima,Vespadelus baverstocki,Poroderma africanum
Stumpffia analamaina,Kupeornis gilberti,Odocoileus hemionus,Mobula diabolus
Necturus alabamensis,Tiaris obscurus,Rhynchogale melleri,Rostroraja alba
Poyntonia paludicola,Chaetornis striata,Genetta abyssinica,Proscyllium habereri
Ansonia albomaculata,Clibanornis dendrocolaptoides,Rhinolophus acuminatus,Zearaja argentinensis
Kalophrynus baluensis,Alethe poliocephala,Equus africanus,Isogomphodon oxyrhynchus
Brachytarsophrys carinense,Glaucidium passerinum,Condylura cristata,Euprotomicroides zantedeschia
Hypodactylus adercus,Aplonis zelandica,Sundamys infraluteus,Eridacnis barbouri
Callulina dawida,Clytoceyx rex,Mirza coquereli,Platyrhina hyugaensis
Peltophryne cataulaciceps,Humblotia flavirostris,Surdisorex norae,Stegostoma fasciatum
Chiropterotriton arboreus,Nothura darwinii,Sylvisorex akaibei,Amblyraja badia
Crinia bilingua,Carpodectes nitidus,Eozapus setchuanus,Pseudotriakis microdon
Ingerana alpina,Stictonetta naevosa,Microgale brevicaudata,Pastinachus atrus
Phrynoidis aspera,Taraba major,Crossarchus alexandri,Eusphyra blochii
Hydromantes ambrosii,Calicalicus madagascariensis,Pelomys campanae,Pavoraja alleni
Sylvacaecilia grandisonae,Semioptera wallacii,Lissodelphis borealis,Squatina aculeata
Ctenophryne aequatorialis,Hydropsalis climacocerca,Kannabateomys amblyonyx,Beringraja binoculata
Hylophorbus atrifasciatus,Heteroglaux blewitti,Pteronura brasiliensis,Somniosus antarcticus
Choerophryne allisoni,Theristicus caerulescens,Puma concolor,Triakis acutipinna
Crossodactylodes bokermanni,Sagittarius serpentarius,Kogia breviceps,Neotrygon annotata
Uperodon globulosus,Prionops plumatus,Trachypithecus auratus,Squaliolus aliae
Euparkerella brasiliensis,Eupetomena macroura,Spalacopus cyanus,Mitsukurina owstoni
Osteopilus crucialis,Pseudoseisura cristata,Scapanus latimanus,Apristurus albisoma
Heleophryne hewitti,Sericulus aureus,Mimon bennettii,Hydrolagus affinis
Allopaa barmoachensis,Penelopides affinis,Rhynchonycteris naso,Taeniurops grabata
Dasypops schirchi,Trochilus polytmus,Steatomys bocagei,Plesiotrygon iwamae
Cryptobranchus alleganiensis,Drymodes superciliaris,Myrmecophaga tridactyla,Alopias pelagicus
Quasipaa acanthophora,Coracias garrulus,Saccopteryx antioquensis,Rajella alia
Alexteroon hypsiphonus,Melamprosops phaeosoma,Rubrisciurus rubriventer,Carcharhinus acronotus
Parhoplophryne usambarica,Phalacrocorax africanus,Loxodontomys micropus,Chlamydoselachus africana
Rhinatrema bivittatum,Phylloscartes ophthalmicus,Capra aegagrus,Hexanchus griseus
Rupirana cardosoi,Aegithina tiphia,Anourosorex assamensis,Rhincodon typus
Siphonops annulatus,Buthraupis montana,Euoticus elegantulus,Bythaelurus alcockii
Paradactylodon gorganensis,Hapaloptila castanea,Rhyncholestes raphanurus,Lamna ditropis
Tlalocohyla godmani,Notiomystis cincta,Nephelomys albigularis,Dactylobatus armatus
Opisthothylax immaculatus,Lamprotornis cupreocauda,Brachyphylla cavernarum,Prionace glauca
Sanguirana albotuberculata,Hylopezus perspicillatus,Eudorcas albonotata,Hongeo koreana
Balebreviceps hillmani,Gallus gallus,Selevinia betpakdalaensis,Haploblepharus edwardsii
Gephyromantis ambohitra,Zimmerius vilissimus,Salanoia concolor,Scoliodon laticaudus
Strongylopus bonaespei,Lurocalis semitorquatus,Lasionycteris noctivagans,Neoharriotta carri
Caecilita iwokramae,Heterospingus rubrifrons,Physeter macrocephalus,Zapteryx brevirostris
Pristimantis aaptus,Phlogophilus hemileucurus,Podogymnura aureospinula,Paragaleus leucolomatus
Allobates alessandroi,Grallaricula flavirostris,Elephas antiquus,Fenestraja atripinna
Mucubatrachus briceni,Myiopagis gaimardii,Lasiorhinus krefftii,Plesiobatis daviesi
Cryptothylax greshoffii,Sypheotides indicus,Typhlomys cinereus,Scyliorhinus besnardi
Parvimolge townsendi,Cyanocompsa cyanoides,Rhizomys pruinosus,Pliotrema warreni
Hylomantis aspera,Neochmia temporalis,Cyclopes didactylus,Diplobatis colombiensis
Andrias davidianus,Dasyornis longirostris,Lenothrix canus,Planonasus parini
Leptodactylodon albiventris,Gallirallus australis,Thalpomys cerradensis,Hemiscyllium freycineti
Palmatorappia solomonis,Oreortyx pictus,Nycteris arge,
Dicamptodon aterrimus,Penelopina nigra,Sicista armenica,
Chrysobatrachus cupreonitens,Archboldia papuensis,Cynictis penicillata,
Pseudobufo subasper,Nystalus radiatus,Chaetomys subspinosus,
Adelotus brevis,Hylonympha macrocerca,Rhinosciurus laticaudatus,
Allophryne relicta,Teretistris fernandinae,Lionycteris spurrelli,
Vibrissaphora echinata,Kenopia striata,Leontopithecus caissara,
Stereocyclops histrio,Brotogeris tirica,Hipposideros abae,
Pyxicephalus adspersus,Phapitreron leucotis,Poecilogale albinucha,
Megastomatohyla mixe,Barnardius zonarius,Melasmothrix naso,
Brasilotyphlus braziliensis,Melospiza melodia,Macrophyllum macrophyllum,
Pseudophilautus abundus,Eumomota superciliosa,Phodopus campbelli,
Madecassophryne truebae,Neopipo cinnamomea,Phyllotis alisosiensis,
Calluella brooksii,Ninox rufa,Tscherskia triton,
Batrachyla antartandica,Nigrita fusconotus,Moschiola indica,
Cryptobatrachus boulengeri,Aratinga acuticaudata,Ruwenzorisorex suncoides,
Adenomus dasi,Mesopicos elliotii,Tapirus bairdii,
Paramesotriton caudopunctatus,Turdoides nipalensis,Latidens salimalii,
Duttaphrynus atukoralei,Coturnicops exquisitus,Nilopegamys plumbeus,
Boophis albilabris,Tachybaptus ruficollis,,
Smilisca baudinii,Lacedo pulchella,,
Megophrys ancrae,Inezia tenuirostris,,
Bolitoglossa adspersa,Bubalornis albirostris,,
Atretochoana eiselti,Caliechthrus leucolophus,,
Laurentophryne parkeri,Celeus brachyurus,,
Latonia nigriventer,Bycanistes bucinator,,
Bromeliohyla bromeliacia,Kaupifalco monogrammicus,,
Bokermannohyla ahenea,Eremopterix leucotis,,
Ixalotriton niger,Purpureicephalus spurius,,
Odorrana absita,Atlapetes albinucha,,
Scaphiophryne boribory,Strix seloputo,,
Platypelis alticola,Ictinia mississippiensis,,
Cyclorana alboguttata,Stactolaema leucotis,,
Triprion petasatus,Metallura williami,,
Genyophryne thomsoni,Pityriasis gymnocephala,,
Oxydactyla alpestris,Eremomela salvadorii,,
Batrachylodes elegans,Lesbia victoriae,,
Poyntonophrynus beiranus,Vireolanius melitophrys,,
,Henicopernis longicauda,,
,Chloroceryle amazona,,
,Leiothrix argentauris,,
,Phalcoboenus carunculatus,,
,Haplochelidon andecola,,
,Psophia crepitans,,
,Serilophus lunatus,,
,Cracticus mentalis,,
,Ramphomicron microrhynchum,,
,Phibalura flavirostris,,
,Anas capensis,,
,Nothocercus bonapartei,,
,Cercibis oxycerca,,
,Tryngites subruficollis,,
,Bombycilla garrulus,,
,Euryceros prevostii,,
,Lophura leucomelanos,,
,Leptasthenura fuliginiceps,,
,Xiphidiopicus percussus,,
