Metric,Dataset,Within_N,Between_N,Median_within,Median_between,Median_ratio_btw_over_within,AUROC_P(between>within),Cliffs_delta,Mean_silhouette,Dunn_index,Rank_AUROC_P(between>within),Rank_Cliffs_delta,Rank_Median_ratio_btw_over_within,Rank_Mean_silhouette,Rank_Dunn_index,Mean_rank_across_metrics
RF(+),Amphibians,50,250,16.0,44.0,2.75,0.95236,0.90472,0.3889,0.588235,3.0,3.0,3.0,3.0,2.0,2.8
RF(+),Birds,50,250,14.0,50.0,3.571429,1.0,1.0,0.644896,1.153846,1.5,1.5,3.0,3.0,2.0,2.2
RF(+),Mammals,50,250,19.0,48.0,2.526316,0.81408,0.62816,-0.075513,0.15,3.0,3.0,3.0,3.0,3.0,3.0
RF(+),Sharks,50,250,16.0,46.0,2.875,0.95068,0.90136,0.418997,0.5,3.0,3.0,2.0,3.0,3.0,2.8
RF(k‑NCL),Amphibians,50,250,16.0,89.0,5.5625,1.0,1.0,0.765196,1.588235,1.0,1.0,1.0,1.0,1.0,1.0
RF(k‑NCL),Birds,50,250,14.0,95.0,6.785714,1.0,1.0,0.825946,2.653846,1.5,1.5,1.0,1.0,1.0,1.2
RF(k‑NCL),Mammals,50,250,19.0,70.0,3.684211,1.0,1.0,0.668237,1.2,1.0,1.0,2.0,1.0,1.0,1.2
RF(k‑NCL),Sharks,50,250,17.0,69.0,4.058824,1.0,1.0,0.733822,1.28125,1.0,1.0,1.0,1.0,1.0,1.0
BSD(k‑NCL),Amphibians,50,250,1565.372824,4403.314162,2.812949,0.97864,0.95728,0.555489,0.530407,2.0,2.0,2.0,2.0,3.0,2.2
BSD(k‑NCL),Birds,50,250,312.92527,1525.900727,4.876246,0.99392,0.98784,0.724055,0.866015,3.0,3.0,2.0,2.0,3.0,2.6
BSD(k‑NCL),Mammals,50,250,498.826777,2338.30015,4.6876,0.91392,0.82784,0.521131,0.456362,2.0,2.0,1.0,2.0,2.0,1.8
BSD(k‑NCL),Sharks,50,250,1551.021816,4435.506506,2.859732,0.99224,0.98448,0.593333,0.847438,2.0,2.0,3.0,2.0,2.0,2.2
